layer_name,activation_bits,percentile,alpha,mse,num_samples
features.0.0,7,99.0,5.149247169494629,0.12035907059907913,200000
features.0.0,7,99.5,6.611125469207764,0.0700368881225586,200000
features.0.0,7,99.9,10.565325736999512,0.0180298313498497,200000
features.0.0,7,99.95,12.906425476074219,0.009323608130216599,200000
features.0.0,7,99.99,16.881742477416992,0.006448558531701565,200000
features.0.0,7,100.0,22.0313663482666,0.009356062859296799,200000
features.1.conv.0.0,7,99.0,3.7848129272460938,0.24242082238197327,200000
features.1.conv.0.0,7,99.5,5.1991376876831055,0.16764898598194122,200000
features.1.conv.0.0,7,99.9,13.246736526489258,0.010022345930337906,200000
features.1.conv.0.0,7,99.95,15.416154861450195,0.0051374430768191814,200000
features.1.conv.0.0,7,99.99,17.72553062438965,0.00510266562923789,200000
features.1.conv.0.0,7,100.0,17.78510856628418,0.005141586996614933,200000
features.1.conv.1,7,99.0,7.858859539031982,0.022463040426373482,200000
features.1.conv.1,7,99.5,8.604572296142578,0.01155513059347868,200000
features.1.conv.1,7,99.9,10.31390380859375,0.0037965483497828245,200000
features.1.conv.1,7,99.95,11.043750762939453,0.0031648215372115374,200000
features.1.conv.1,7,99.99,12.314453125,0.003258307697251439,200000
features.1.conv.1,7,100.0,14.374408721923828,0.0043363370932638645,200000
features.2.conv.0.0,7,99.0,14.208623886108398,0.4652775824069977,200000
features.2.conv.0.0,7,99.5,17.030807495117188,0.272283673286438,200000
features.2.conv.0.0,7,99.9,25.31431007385254,0.06966701149940491,200000
features.2.conv.0.0,7,99.95,28.578510284423828,0.04882017895579338,200000
features.2.conv.0.0,7,99.99,37.50457000732422,0.03691447153687477,200000
features.2.conv.0.0,7,100.0,54.83901596069336,0.06293852627277374,200000
features.2.conv.1.0,7,99.0,5.047359943389893,0.012329035438597202,200000
features.2.conv.1.0,7,99.5,5.718573093414307,0.004681616090238094,200000
features.2.conv.1.0,7,99.9,6.9757561683654785,0.001088226679712534,200000
features.2.conv.1.0,7,99.95,7.084847450256348,0.001072931569069624,200000
features.2.conv.1.0,7,99.99,7.756723403930664,0.0011637317948043346,200000
features.2.conv.1.0,7,100.0,8.390134811401367,0.0013500457862392068,200000
features.2.conv.2,7,99.0,8.368631362915039,0.01454449724406004,200000
