layer_name,w5_profile_drop_pp,category,requested_centroids,actual_centroids,num_weights,avg_huffman_bits_per_index
features.0.0,0.7000000000000028,very_sensitive,64,64,864,5.898148148148148
features.1.conv.0.0,1.7000000000000028,very_sensitive,64,64,288,5.854166666666667
features.1.conv.1,0.45000000000000284,sensitive,32,32,512,4.90625
features.2.conv.0.0,0.5499999999999972,very_sensitive,64,64,1536,5.979166666666667
features.2.conv.1.0,0.6500000000000057,very_sensitive,64,64,864,5.980324074074074
features.2.conv.2,0.75,very_sensitive,64,64,2304,5.94921875
features.3.conv.0.0,0.20000000000000284,medium,16,16,3456,3.791377314814815
features.3.conv.1.0,0.45000000000000284,sensitive,32,32,1296,4.967592592592593
features.3.conv.2,0.9000000000000057,very_sensitive,64,64,3456,5.971643518518518
features.4.conv.0.0,0.09999999999999432,robust,8,8,3456,2.5708912037037037
features.4.conv.1.0,0.3499999999999943,sensitive,32,32,1296,4.922839506172839
features.4.conv.2,0.5,sensitive,32,32,4608,4.930555555555555
features.5.conv.0.0,0.4000000000000057,sensitive,32,32,6144,4.919921875
features.5.conv.1.0,0.3499999999999943,sensitive,32,32,1728,4.960648148148148
features.5.conv.2,0.15000000000000568,medium,16,16,6144,3.8232421875
features.6.conv.0.0,0.09999999999999432,robust,8,8,6144,2.6559244791666665
features.6.conv.1.0,0.15000000000000568,medium,16,16,1728,3.8802083333333335
features.6.conv.2,0.20000000000000284,medium,16,16,6144,3.7976888020833335
features.7.conv.0.0,0.29999999999999716,sensitive,32,32,6144,4.932942708333333
features.7.conv.1.0,0.20000000000000284,medium,16,16,1728,3.8975694444444446
features.7.conv.2,1.6500000000000057,very_sensitive,64,64,12288,5.957275390625
features.8.conv.0.0,0.04999999999999716,robust,8,8,24576,2.7102864583333335
features.8.conv.1.0,0.15000000000000568,medium,16,16,3456,3.8292824074074074
features.8.conv.2,0.5,sensitive,32,32,24576,4.881388346354167
features.9.conv.0.0,0.20000000000000284,medium,16,16,24576,3.774169921875
features.9.conv.1.0,0.29999999999999716,sensitive,32,32,3456,4.960358796296297
features.9.conv.2,0.20000000000000284,medium,16,16,24576,3.7562662760416665
features.10.conv.0.0,0.04999999999999716,robust,8,8,24576,2.698974609375
features.10.conv.1.0,0.0,robust,8,8,3456,2.6024305555555554
features.10.conv.2,0.0,robust,8,8,24576,2.5963134765625
features.11.conv.0.0,0.15000000000000568,medium,16,16,24576,3.8202311197916665
features.11.conv.1.0,0.25,medium,16,16,3456,3.7294560185185186
features.11.conv.2,0.4000000000000057,sensitive,32,32,36864,4.926893446180555
features.12.conv.0.0,0.3499999999999943,sensitive,32,32,55296,4.938838252314815
features.12.conv.1.0,0.04999999999999716,robust,8,8,5184,2.5652006172839505
features.12.conv.2,0.45000000000000284,sensitive,32,32,55296,4.939778645833333
features.13.conv.0.0,0.20000000000000284,medium,16,16,55296,3.8800455729166665
features.13.conv.1.0,0.0,robust,8,8,5184,2.589891975308642
features.13.conv.2,0.6500000000000057,very_sensitive,64,64,55296,5.97216796875
features.14.conv.0.0,0.20000000000000284,medium,16,16,55296,3.8364619502314814
features.14.conv.1.0,0.0,robust,8,8,5184,2.7509645061728394
features.14.conv.2,0.6500000000000057,very_sensitive,64,64,92160,5.956315104166666
features.15.conv.0.0,0.04999999999999716,robust,8,8,153600,2.7771419270833335
features.15.conv.1.0,0.25,medium,16,16,8640,3.7618055555555556
features.15.conv.2,0.3499999999999943,sensitive,32,32,153600,4.916399739583333
features.16.conv.0.0,0.25,medium,16,16,153600,3.8493424479166665
features.16.conv.1.0,0.15000000000000568,medium,16,16,8640,3.7480324074074076
features.16.conv.2,0.25,medium,16,16,153600,3.8624609375
features.17.conv.0.0,0.09999999999999432,robust,8,8,153600,2.7383658854166666
features.17.conv.1.0,0.0,robust,8,8,8640,2.640509259259259
features.17.conv.2,0.0,robust,8,8,307200,2.765751953125
features.18.0,0.0,robust,8,8,409600,2.83946533203125
classifier.1,0.0,robust,8,8,12800,2.889765625
