layer_name,w5_profile_drop_pp,category,requested_centroids,actual_centroids,num_weights,avg_huffman_bits_per_index
features.0.0,0.7000000000000028,very_sensitive,128,128,864,6.962962962962963
features.1.conv.0.0,1.7000000000000028,very_sensitive,128,128,288,6.913194444444445
features.1.conv.1,0.45000000000000284,sensitive,64,64,512,5.8828125
features.2.conv.0.0,0.5499999999999972,very_sensitive,128,128,1536,6.983723958333333
features.2.conv.1.0,0.6500000000000057,very_sensitive,128,128,864,6.957175925925926
features.2.conv.2,0.75,very_sensitive,128,128,2304,6.973524305555555
features.3.conv.0.0,0.20000000000000284,medium,32,32,3456,4.926793981481482
features.3.conv.1.0,0.45000000000000284,sensitive,64,64,1296,5.979166666666667
features.3.conv.2,0.9000000000000057,very_sensitive,128,128,3456,6.980613425925926
features.4.conv.0.0,0.09999999999999432,robust,16,16,3456,3.807002314814815
features.4.conv.1.0,0.3499999999999943,sensitive,64,64,1296,5.986882716049383
features.4.conv.2,0.5,sensitive,64,64,4608,5.971571180555555
features.5.conv.0.0,0.4000000000000057,sensitive,64,64,6144,5.972819010416667
features.5.conv.1.0,0.3499999999999943,sensitive,64,64,1728,5.969907407407407
features.5.conv.2,0.15000000000000568,medium,32,32,6144,4.915364583333333
features.6.conv.0.0,0.09999999999999432,robust,16,16,6144,3.80859375
features.6.conv.1.0,0.15000000000000568,medium,32,32,1728,4.931712962962963
features.6.conv.2,0.20000000000000284,medium,32,32,6144,4.922688802083333
features.7.conv.0.0,0.29999999999999716,sensitive,64,64,6144,5.963704427083333
features.7.conv.1.0,0.20000000000000284,medium,32,32,1728,4.954861111111111
features.7.conv.2,1.6500000000000057,very_sensitive,128,128,12288,6.981282552083333
features.8.conv.0.0,0.04999999999999716,robust,16,16,24576,3.8472086588541665
features.8.conv.1.0,0.15000000000000568,medium,32,32,3456,4.953993055555555
features.8.conv.2,0.5,sensitive,64,64,24576,5.926717122395833
features.9.conv.0.0,0.20000000000000284,medium,32,32,24576,4.879313151041667
features.9.conv.1.0,0.29999999999999716,sensitive,64,64,3456,5.980613425925926
features.9.conv.2,0.20000000000000284,medium,32,32,24576,4.8875732421875
features.10.conv.0.0,0.04999999999999716,robust,16,16,24576,3.8376057942708335
features.10.conv.1.0,0.0,robust,16,16,3456,3.831886574074074
features.10.conv.2,0.0,robust,16,16,24576,3.7725423177083335
features.11.conv.0.0,0.15000000000000568,medium,32,32,24576,4.929606119791667
features.11.conv.1.0,0.25,medium,32,32,3456,4.914351851851852
features.11.conv.2,0.4000000000000057,sensitive,64,64,36864,5.961697048611111
features.12.conv.0.0,0.3499999999999943,sensitive,64,64,55296,5.966525607638889
features.12.conv.1.0,0.04999999999999716,robust,16,16,5184,3.775462962962963
features.12.conv.2,0.45000000000000284,sensitive,64,64,55296,5.964988425925926
features.13.conv.0.0,0.20000000000000284,medium,32,32,55296,4.945240162037037
features.13.conv.1.0,0.0,robust,16,16,5184,3.752314814814815
features.13.conv.2,0.6500000000000057,very_sensitive,128,128,55296,6.984989872685185
features.14.conv.0.0,0.20000000000000284,medium,32,32,55296,4.9326171875
features.14.conv.1.0,0.0,robust,16,16,5184,3.7413194444444446
features.14.conv.2,0.6500000000000057,very_sensitive,128,128,92160,6.979427083333333
features.15.conv.0.0,0.04999999999999716,robust,16,16,153600,3.8807161458333335
features.15.conv.1.0,0.25,medium,32,32,8640,4.911574074074074
features.15.conv.2,0.3499999999999943,sensitive,64,64,153600,5.957610677083333
features.16.conv.0.0,0.25,medium,32,32,153600,4.920013020833333
features.16.conv.1.0,0.15000000000000568,medium,32,32,8640,4.909953703703704
features.16.conv.2,0.25,medium,32,32,153600,4.925013020833333
features.17.conv.0.0,0.09999999999999432,robust,16,16,153600,3.84712890625
features.17.conv.1.0,0.0,robust,16,16,8640,3.691087962962963
features.17.conv.2,0.0,robust,16,16,307200,3.83896484375
features.18.0,0.0,robust,16,16,409600,3.9050439453125
classifier.1,0.0,robust,16,16,12800,3.938515625
