layer_name,w5_profile_drop_pp,category,requested_centroids,actual_centroids,num_weights,avg_huffman_bits_per_index
features.0.0,0.7000000000000028,very_sensitive,256,256,864,7.935185185185185
features.1.conv.0.0,1.7000000000000028,very_sensitive,256,256,288,7.659722222222222
features.1.conv.1,0.45000000000000284,sensitive,128,128,512,6.91015625
features.2.conv.0.0,0.5499999999999972,very_sensitive,256,256,1536,7.972005208333333
features.2.conv.1.0,0.6500000000000057,very_sensitive,256,256,864,7.929398148148148
features.2.conv.2,0.75,very_sensitive,256,256,2304,7.976996527777778
features.3.conv.0.0,0.20000000000000284,medium,64,64,3456,5.961226851851852
features.3.conv.1.0,0.45000000000000284,sensitive,128,128,1296,6.986111111111111
features.3.conv.2,0.9000000000000057,very_sensitive,256,256,3456,7.9765625
features.4.conv.0.0,0.09999999999999432,robust,32,32,3456,4.9360532407407405
features.4.conv.1.0,0.3499999999999943,sensitive,128,128,1296,6.9830246913580245
features.4.conv.2,0.5,sensitive,128,128,4608,6.984375
features.5.conv.0.0,0.4000000000000057,sensitive,128,128,6144,6.990885416666667
features.5.conv.1.0,0.3499999999999943,sensitive,128,128,1728,6.982638888888889
features.5.conv.2,0.15000000000000568,medium,64,64,6144,5.97021484375
features.6.conv.0.0,0.09999999999999432,robust,32,32,6144,4.923990885416667
features.6.conv.1.0,0.15000000000000568,medium,64,64,1728,5.980902777777778
features.6.conv.2,0.20000000000000284,medium,64,64,6144,5.955240885416667
features.7.conv.0.0,0.29999999999999716,sensitive,128,128,6144,6.98583984375
features.7.conv.1.0,0.20000000000000284,medium,64,64,1728,5.971643518518518
features.7.conv.2,1.6500000000000057,very_sensitive,256,256,12288,7.98876953125
features.8.conv.0.0,0.04999999999999716,robust,32,32,24576,4.94140625
features.8.conv.1.0,0.15000000000000568,medium,64,64,3456,5.96875
features.8.conv.2,0.5,sensitive,128,128,24576,6.966023763020833
features.9.conv.0.0,0.20000000000000284,medium,64,64,24576,5.944742838541667
features.9.conv.1.0,0.29999999999999716,sensitive,128,128,3456,6.9936342592592595
features.9.conv.2,0.20000000000000284,medium,64,64,24576,5.934366861979167
features.10.conv.0.0,0.04999999999999716,robust,32,32,24576,4.917154947916667
features.10.conv.1.0,0.0,robust,32,32,3456,4.9453125
features.10.conv.2,0.0,robust,32,32,24576,4.88720703125
features.11.conv.0.0,0.15000000000000568,medium,64,64,24576,5.966349283854167
features.11.conv.1.0,0.25,medium,64,64,3456,5.98119212962963
features.11.conv.2,0.4000000000000057,sensitive,128,128,36864,6.982096354166667
features.12.conv.0.0,0.3499999999999943,sensitive,128,128,55296,6.984284577546297
features.12.conv.1.0,0.04999999999999716,robust,32,32,5184,4.911651234567901
features.12.conv.2,0.45000000000000284,sensitive,128,128,55296,6.983995225694445
features.13.conv.0.0,0.20000000000000284,medium,64,64,55296,5.971028645833333
features.13.conv.1.0,0.0,robust,32,32,5184,4.9153163580246915
features.13.conv.2,0.6500000000000057,very_sensitive,256,256,55296,7.992078993055555
features.14.conv.0.0,0.20000000000000284,medium,64,64,55296,5.964265046296297
features.14.conv.1.0,0.0,robust,32,32,5184,4.887731481481482
features.14.conv.2,0.6500000000000057,very_sensitive,256,256,92160,7.987662760416667
features.15.conv.0.0,0.04999999999999716,robust,32,32,153600,4.939095052083333
features.15.conv.1.0,0.25,medium,64,64,8640,5.965625
features.15.conv.2,0.3499999999999943,sensitive,128,128,153600,6.97521484375
features.16.conv.0.0,0.25,medium,64,64,153600,5.9490364583333335
features.16.conv.1.0,0.15000000000000568,medium,64,64,8640,5.96412037037037
features.16.conv.2,0.25,medium,64,64,153600,5.95916015625
features.17.conv.0.0,0.09999999999999432,robust,32,32,153600,4.9248046875
features.17.conv.1.0,0.0,robust,32,32,8640,4.807754629629629
features.17.conv.2,0.0,robust,32,32,307200,4.903466796875
features.18.0,0.0,robust,32,32,409600,4.948154296875
classifier.1,0.0,robust,32,32,12800,4.965859375
