layer_name,num_weights,weight_bits,distinct_symbols,zero_fraction,entropy_bits_per_weight,avg_huffman_bits_per_weight,dense_weight_kb,huffman_stream_kb,metadata_kb,scale_kb
features.0.0,432,6,62,0.02546296296296296,5.7790989182853085,5.805555555555555,0.31640625,0.30615234375,0.10595703125,0.0625
features.1.conv.0.0,144,6,52,0.034722222222222224,5.378704349904427,5.402777777777778,0.10546875,0.094970703125,0.0888671875,0.0625
features.1.conv.1,128,6,38,0.3828125,4.040082903722659,4.109375,0.09375,0.064208984375,0.06494140625,0.03125
features.2.conv.0.0,384,6,60,0.0234375,5.60609333226049,5.640625,0.28125,0.264404296875,0.1025390625,0.1875
features.2.conv.1.0,432,6,63,0.018518518518518517,5.7072542787947675,5.733796296296297,0.31640625,0.3023681640625,0.107666015625,0.1875
features.2.conv.2,384,6,57,0.16145833333333334,5.153607099734863,5.200520833333333,0.28125,0.2437744140625,0.097412109375,0.03125
features.3.conv.0.0,384,6,61,0.0078125,5.582583371217551,5.609375,0.28125,0.262939453125,0.104248046875,0.1875
features.3.conv.1.0,432,6,63,0.018518518518518517,5.664401268730232,5.694444444444445,0.31640625,0.30029296875,0.107666015625,0.1875
features.3.conv.2,384,6,62,0.09114583333333333,5.527653906048714,5.5625,0.28125,0.2607421875,0.10595703125,0.03125
features.4.conv.0.0,384,6,59,0.0390625,5.475104230497322,5.502604166666667,0.28125,0.2579345703125,0.100830078125,0.1875
features.4.conv.1.0,432,6,63,0.016203703703703703,5.721737805246835,5.7407407407407405,0.31640625,0.302734375,0.107666015625,0.1875
features.4.conv.2,768,6,60,0.052083333333333336,5.442550643459491,5.47265625,0.5625,0.5130615234375,0.1025390625,0.0625
features.5.conv.0.0,1536,6,63,0.029947916666666668,5.7308603906470745,5.757161458333333,1.125,1.0794677734375,0.107666015625,0.375
features.5.conv.1.0,864,6,63,0.02199074074074074,5.695576665119979,5.730324074074074,0.6328125,0.6043701171875,0.107666015625,0.375
features.5.conv.2,1536,6,62,0.11263020833333333,5.236903719696905,5.259765625,1.125,0.9862060546875,0.10595703125,0.0625
features.6.conv.0.0,1536,6,63,0.034505208333333336,5.732726479277896,5.766276041666667,1.125,1.0811767578125,0.107666015625,0.375
features.6.conv.1.0,864,6,63,0.019675925925925927,5.757790807601277,5.778935185185185,0.6328125,0.6094970703125,0.107666015625,0.375
features.6.conv.2,1536,6,63,0.12630208333333334,5.271322888354889,5.294921875,1.125,0.9927978515625,0.107666015625,0.0625
features.7.conv.0.0,1536,6,63,0.020182291666666668,5.712952025466337,5.748697916666667,1.125,1.077880859375,0.107666015625,0.375
features.7.conv.1.0,864,6,63,0.006944444444444444,5.731581714069659,5.762731481481482,0.6328125,0.6077880859375,0.107666015625,0.375
features.7.conv.2,2304,6,62,0.0685763888888889,5.466093218949092,5.489149305555555,1.6875,1.5438232421875,0.10595703125,0.09375
features.8.conv.0.0,3456,6,63,0.03009259259259259,5.741978708200475,5.775173611111111,2.53125,2.4364013671875,0.107666015625,0.5625
features.8.conv.1.0,1296,6,63,0.02546296296296296,5.703925944363825,5.738425925925926,0.94921875,0.9078369140625,0.107666015625,0.5625
features.8.conv.2,3456,6,63,0.1472800925925926,5.14401409634063,5.177083333333333,2.53125,2.18408203125,0.107666015625,0.09375
features.9.conv.0.0,3456,6,63,0.03298611111111111,5.75241184565352,5.785011574074074,2.53125,2.4405517578125,0.107666015625,0.5625
features.9.conv.1.0,1296,6,63,0.016975308641975308,5.7276256745792224,5.7592592592592595,0.94921875,0.9111328125,0.107666015625,0.5625
features.9.conv.2,3456,6,63,0.14756944444444445,5.147828110697002,5.17650462962963,2.53125,2.183837890625,0.107666015625,0.09375
features.10.conv.0.0,3456,6,63,0.023726851851851853,5.729098981472671,5.766493055555555,2.53125,2.4327392578125,0.107666015625,0.5625
features.10.conv.1.0,1296,6,63,0.02546296296296296,5.713052498295515,5.746913580246914,0.94921875,0.9091796875,0.107666015625,0.5625
features.10.conv.2,3456,6,63,0.2097800925925926,4.753246226841738,4.788773148148148,2.53125,2.020263671875,0.107666015625,0.09375
features.11.conv.0.0,3456,6,63,0.02922453703703704,5.74941808244487,5.783564814814815,2.53125,2.43994140625,0.107666015625,0.5625
features.11.conv.1.0,1296,6,63,0.023148148148148147,5.7341870275324665,5.763888888888889,0.94921875,0.911865234375,0.107666015625,0.5625
features.11.conv.2,4608,6,63,0.09678819444444445,5.349236023370022,5.379340277777778,3.375,3.02587890625,0.107666015625,0.125
features.12.conv.0.0,6144,6,63,0.029622395833333332,5.6918761990044295,5.715006510416667,4.5,4.2862548828125,0.107666015625,0.75
features.12.conv.1.0,1728,6,63,0.02662037037037037,5.713390426940034,5.751157407407407,1.265625,1.213134765625,0.107666015625,0.75
features.12.conv.2,6144,6,63,0.2599283854166667,4.4422513476460255,4.462565104166667,4.5,3.346923828125,0.107666015625,0.125
features.13.conv.0.0,6144,6,63,0.028971354166666668,5.716147318507621,5.74072265625,4.5,4.3055419921875,0.107666015625,0.75
features.13.conv.1.0,1728,6,63,0.02141203703703704,5.695575719550338,5.738425925925926,1.265625,1.21044921875,0.107666015625,0.75
features.13.conv.2,6144,6,63,0.3326822916666667,4.030977362431801,4.069986979166667,4.5,3.052490234375,0.107666015625,0.125
features.14.conv.0.0,6144,6,63,0.03125,5.709118740355773,5.735026041666667,4.5,4.30126953125,0.107666015625,0.75
features.14.conv.1.0,1728,6,63,0.016203703703703703,5.808858936252609,5.832175925925926,1.265625,1.230224609375,0.107666015625,0.75
features.14.conv.2,10752,6,63,0.16136532738095238,4.99397730009374,5.027529761904762,7.875,6.5986328125,0.107666015625,0.21875
features.15.conv.0.0,18816,6,63,0.032950680272108845,5.629489866540784,5.65109481292517,13.78125,12.9798583984375,0.107666015625,1.3125
features.15.conv.1.0,3024,6,63,0.020833333333333332,5.787635326817718,5.8217592592592595,2.21484375,2.1490478515625,0.107666015625,1.3125
features.15.conv.2,18816,6,63,0.15672831632653061,4.88862866979356,4.9259141156462585,13.78125,11.314208984375,0.107666015625,0.21875
features.16.conv.0.0,18816,6,63,0.03326955782312925,5.6238264512393865,5.644929846938775,13.78125,12.9656982421875,0.107666015625,1.3125
features.16.conv.1.0,3024,6,63,0.0248015873015873,5.7206614073027575,5.756613756613756,2.21484375,2.125,0.107666015625,1.3125
features.16.conv.2,18816,6,63,0.2526573129251701,4.388913589339761,4.415231717687075,13.78125,10.1412353515625,0.107666015625,0.21875
features.17.conv.0.0,18816,6,63,0.03449192176870748,5.616934421380973,5.6391900510204085,13.78125,12.9525146484375,0.107666015625,1.3125
features.17.conv.1.0,3024,6,63,0.01984126984126984,5.7916985435545945,5.820436507936508,2.21484375,2.1485595703125,0.107666015625,1.3125
features.17.conv.2,37632,6,63,0.12773703231292516,4.983214793495462,5.0095131802721085,27.5625,23.012451171875,0.107666015625,0.4375
