layer_name,assigned_bits,num_weights,distinct_symbols,zero_fraction,entropy_bits_per_weight,avg_huffman_bits_per_weight,dense_weight_kb,huffman_stream_kb,codebook_kb
features.0.0,7,864,117,0.04398148148148148,6.126692114255234,6.162037037037037,0.73828125,0.64990234375,0.2142333984375
features.1.conv.0.0,7,288,86,0.027777777777777776,5.7837275783944095,5.8125,0.24609375,0.204345703125,0.157470703125
features.1.conv.1,6,512,46,0.189453125,4.462951882880643,4.50390625,0.375,0.281494140625,0.07861328125
features.2.conv.0.0,6,1536,63,0.09049479166666667,5.19883116892939,5.23046875,1.125,0.980712890625,0.107666015625
features.2.conv.1.0,7,864,124,0.010416666666666666,6.583222432503393,6.614583333333333,0.73828125,0.6976318359375,0.22705078125
features.2.conv.2,7,2304,116,0.03819444444444445,6.049462253948124,6.080729166666667,1.96875,1.710205078125,0.21240234375
features.3.conv.0.0,7,3456,127,0.021122685185185185,6.336316802635117,6.374131944444445,2.953125,2.6890869140625,0.2325439453125
features.3.conv.1.0,7,1296,123,0.018518518518518517,6.279858673493729,6.304012345679013,1.107421875,0.997314453125,0.2252197265625
features.3.conv.2,7,3456,122,0.04050925925925926,6.013956425778964,6.035300925925926,2.953125,2.546142578125,0.223388671875
features.4.conv.0.0,5,3456,31,0.11979166666666667,4.363193044046224,4.395833333333333,2.109375,1.8544921875,0.0491943359375
features.4.conv.1.0,6,1296,63,0.0030864197530864196,5.582443375738201,5.604938271604938,0.94921875,0.88671875,0.107666015625
features.4.conv.2,7,4608,123,0.029947916666666668,6.058269269835817,6.082465277777778,3.9375,3.42138671875,0.2252197265625
features.5.conv.0.0,7,6144,127,0.024251302083333332,6.3998074089583055,6.433756510416667,5.25,4.8253173828125,0.2325439453125
features.5.conv.1.0,7,1728,121,0.023148148148148147,6.1442461232138506,6.178819444444445,1.4765625,1.3033447265625,0.2215576171875
features.5.conv.2,7,6144,125,0.031412760416666664,6.029253732048456,6.054036458333333,5.25,4.54052734375,0.2288818359375
features.6.conv.0.0,5,6144,31,0.09098307291666667,4.461566157183852,4.5,3.75,3.375,0.0491943359375
features.6.conv.1.0,7,1728,127,0.02141203703703704,6.420756063902685,6.447916666666667,1.4765625,1.360107421875,0.2325439453125
features.6.conv.2,7,6144,126,0.02880859375,6.144580065461377,6.176106770833333,5.25,4.632080078125,0.230712890625
features.7.conv.0.0,7,6144,127,0.023763020833333332,6.40350950144268,6.4375,5.25,4.828125,0.2325439453125
features.7.conv.1.0,6,1728,63,0.0005787037037037037,5.650113945226251,5.681712962962963,1.265625,1.198486328125,0.107666015625
features.7.conv.2,6,12288,63,0.06201171875,5.021586448612226,5.046142578125,9.0,7.5692138671875,0.107666015625
features.8.conv.0.0,5,24576,31,0.09033203125,4.378536123438962,4.418741861979167,15.0,13.2562255859375,0.0491943359375
features.8.conv.1.0,6,3456,63,0.04137731481481482,5.363775529203823,5.396701388888889,2.53125,2.2767333984375,0.107666015625
features.8.conv.2,7,24576,127,0.04150390625,5.9067947953614,5.9302978515625,21.0,17.7908935546875,0.2325439453125
features.9.conv.0.0,7,24576,127,0.0234375,6.42265970314787,6.458292643229167,21.0,19.3748779296875,0.2325439453125
features.9.conv.1.0,7,3456,127,0.022569444444444444,6.2860650253333485,6.318576388888889,2.953125,2.6656494140625,0.2325439453125
features.9.conv.2,7,24576,127,0.035847981770833336,6.010412787391848,6.0345458984375,21.0,18.1036376953125,0.2325439453125
features.10.conv.0.0,5,24576,31,0.09147135416666667,4.401494503443738,4.442097981770833,15.0,13.3262939453125,0.0491943359375
features.10.conv.1.0,5,3456,31,0.08912037037037036,4.4777094768199115,4.517939814814815,2.109375,1.906005859375,0.0491943359375
features.10.conv.2,5,24576,31,0.14990234375,3.8237913822488663,3.8513590494791665,15.0,11.5540771484375,0.0491943359375
features.11.conv.0.0,7,24576,127,0.025390625,6.284022990683696,6.316935221354167,21.0,18.9508056640625,0.2325439453125
features.11.conv.1.0,7,3456,116,0.03356481481481482,5.961234752113665,5.987847222222222,2.953125,2.526123046875,0.21240234375
features.11.conv.2,7,36864,127,0.027994791666666668,6.139062581170751,6.173855251736111,31.5,27.7823486328125,0.2325439453125
features.12.conv.0.0,6,55296,63,0.03989438657407408,5.4455689643618825,5.478443287037037,40.5,36.9794921875,0.107666015625
features.12.conv.1.0,5,5184,31,0.06327160493827161,4.662720837855641,4.691550925925926,3.1640625,2.9688720703125,0.0491943359375
features.12.conv.2,6,55296,63,0.05126953125,5.113721439699951,5.15160228587963,40.5,34.7733154296875,0.107666015625
features.13.conv.0.0,7,55296,127,0.020218460648148147,6.474314172654548,6.502405237268518,47.25,43.8912353515625,0.2325439453125
features.13.conv.1.0,5,5184,31,0.059799382716049385,4.655106354146065,4.675347222222222,3.1640625,2.9586181640625,0.0491943359375
features.13.conv.2,7,55296,127,0.026023582175925927,6.136619522860484,6.174225983796297,47.25,41.676025390625,0.2325439453125
features.14.conv.0.0,7,55296,127,0.02410662615740741,6.3221003434025755,6.360658998842593,47.25,42.9344482421875,0.2325439453125
