layer_name,weight_shape,num_weights,base_weight_bits,trial_bits,activation_bits,profile_samples,base_accuracy,trial_accuracy,accuracy_drop_pp,saved_kb_vs_base,saving_efficiency_kb_per_pp,num_scales
features.0.0,"(32, 3, 3, 3)",864,7,6,8,2000,95.5,95.15,0.3499999999999943,0.10546875,0.3013392857142906,32
features.0.0,"(32, 3, 3, 3)",864,7,5,8,2000,95.5,94.8,0.7000000000000028,0.2109375,0.3013392857142845,32
features.1.conv.0.0,"(32, 1, 3, 3)",288,7,6,8,2000,95.5,95.0,0.5,0.03515625,0.0703125,32
features.1.conv.0.0,"(32, 1, 3, 3)",288,7,5,8,2000,95.5,93.8,1.7000000000000028,0.0703125,0.04136029411764699,32
features.1.conv.1,"(16, 32, 1, 1)",512,7,6,8,2000,95.5,95.6,-0.09999999999999432,0.0625,6.25,16
features.1.conv.1,"(16, 32, 1, 1)",512,7,5,8,2000,95.5,95.05,0.45000000000000284,0.125,0.277777777777776,16
features.2.conv.0.0,"(96, 16, 1, 1)",1536,7,6,8,2000,95.5,95.45,0.04999999999999716,0.1875,3.750000000000213,96
features.2.conv.0.0,"(96, 16, 1, 1)",1536,7,5,8,2000,95.5,94.95,0.5499999999999972,0.375,0.6818181818181853,96
features.2.conv.1.0,"(96, 1, 3, 3)",864,7,6,8,2000,95.5,95.35,0.15000000000000568,0.10546875,0.7031249999999734,96
features.2.conv.1.0,"(96, 1, 3, 3)",864,7,5,8,2000,95.5,94.85,0.6500000000000057,0.2109375,0.32451923076922795,96
features.2.conv.2,"(24, 96, 1, 1)",2304,7,6,8,2000,95.5,95.2,0.29999999999999716,0.28125,0.9375000000000089,24
features.2.conv.2,"(24, 96, 1, 1)",2304,7,5,8,2000,95.5,94.75,0.75,0.5625,0.75,24
features.3.conv.0.0,"(144, 24, 1, 1)",3456,7,6,8,2000,95.5,95.4,0.09999999999999432,0.421875,4.21875000000024,144
features.3.conv.0.0,"(144, 24, 1, 1)",3456,7,5,8,2000,95.5,95.3,0.20000000000000284,0.84375,4.2187499999999405,144
features.3.conv.1.0,"(144, 1, 3, 3)",1296,7,6,8,2000,95.5,95.3,0.20000000000000284,0.158203125,0.7910156249999888,144
features.3.conv.1.0,"(144, 1, 3, 3)",1296,7,5,8,2000,95.5,95.05,0.45000000000000284,0.31640625,0.7031249999999956,144
features.3.conv.2,"(24, 144, 1, 1)",3456,7,6,8,2000,95.5,95.05,0.45000000000000284,0.421875,0.9374999999999941,24
features.3.conv.2,"(24, 144, 1, 1)",3456,7,5,8,2000,95.5,94.6,0.9000000000000057,0.84375,0.9374999999999941,24
features.4.conv.0.0,"(144, 24, 1, 1)",3456,7,6,8,2000,95.5,94.95,0.5499999999999972,0.421875,0.7670454545454585,144
features.4.conv.0.0,"(144, 24, 1, 1)",3456,7,5,8,2000,95.5,95.4,0.09999999999999432,0.84375,8.43750000000048,144
features.4.conv.1.0,"(144, 1, 3, 3)",1296,7,6,8,2000,95.5,95.5,0.0,0.158203125,15.8203125,144
features.4.conv.1.0,"(144, 1, 3, 3)",1296,7,5,8,2000,95.5,95.15,0.3499999999999943,0.31640625,0.9040178571428719,144
features.4.conv.2,"(32, 144, 1, 1)",4608,7,6,8,2000,95.5,95.1,0.4000000000000057,0.5625,1.40624999999998,32
features.4.conv.2,"(32, 144, 1, 1)",4608,7,5,8,2000,95.5,95.0,0.5,1.125,2.25,32
features.5.conv.0.0,"(192, 32, 1, 1)",6144,7,6,8,2000,95.5,95.3,0.20000000000000284,0.75,3.7499999999999467,192
features.5.conv.0.0,"(192, 32, 1, 1)",6144,7,5,8,2000,95.5,95.1,0.4000000000000057,1.5,3.7499999999999467,192
features.5.conv.1.0,"(192, 1, 3, 3)",1728,7,6,8,2000,95.5,95.1,0.4000000000000057,0.2109375,0.5273437499999926,192
features.5.conv.1.0,"(192, 1, 3, 3)",1728,7,5,8,2000,95.5,95.15,0.3499999999999943,0.421875,1.2053571428571623,192
features.5.conv.2,"(32, 192, 1, 1)",6144,7,6,8,2000,95.5,95.35,0.15000000000000568,0.75,4.999999999999811,32
features.5.conv.2,"(32, 192, 1, 1)",6144,7,5,8,2000,95.5,95.35,0.15000000000000568,1.5,9.999999999999622,32
features.6.conv.0.0,"(192, 32, 1, 1)",6144,7,6,8,2000,95.5,95.25,0.25,0.75,3.0,192
features.6.conv.0.0,"(192, 32, 1, 1)",6144,7,5,8,2000,95.5,95.4,0.09999999999999432,1.5,15.000000000000853,192
features.6.conv.1.0,"(192, 1, 3, 3)",1728,7,6,8,2000,95.5,95.4,0.09999999999999432,0.2109375,2.10937500000012,192
features.6.conv.1.0,"(192, 1, 3, 3)",1728,7,5,8,2000,95.5,95.35,0.15000000000000568,0.421875,2.8124999999998934,192
features.6.conv.2,"(32, 192, 1, 1)",6144,7,6,8,2000,95.5,95.15,0.3499999999999943,0.75,2.142857142857178,32
features.6.conv.2,"(32, 192, 1, 1)",6144,7,5,8,2000,95.5,95.3,0.20000000000000284,1.5,7.499999999999893,32
features.7.conv.0.0,"(192, 32, 1, 1)",6144,7,6,8,2000,95.5,95.05,0.45000000000000284,0.75,1.666666666666656,192
features.7.conv.0.0,"(192, 32, 1, 1)",6144,7,5,8,2000,95.5,95.2,0.29999999999999716,1.5,5.000000000000047,192
features.7.conv.1.0,"(192, 1, 3, 3)",1728,7,6,8,2000,95.5,95.5,0.0,0.2109375,21.09375,192
features.7.conv.1.0,"(192, 1, 3, 3)",1728,7,5,8,2000,95.5,95.3,0.20000000000000284,0.421875,2.1093749999999702,192
features.7.conv.2,"(64, 192, 1, 1)",12288,7,6,8,2000,95.5,95.55,-0.04999999999999716,1.5,150.0,64
features.7.conv.2,"(64, 192, 1, 1)",12288,7,5,8,2000,95.5,93.85,1.6500000000000057,3.0,1.818181818181812,64
features.8.conv.0.0,"(384, 64, 1, 1)",24576,7,6,8,2000,95.5,95.15,0.3499999999999943,3.0,8.571428571428712,384
features.8.conv.0.0,"(384, 64, 1, 1)",24576,7,5,8,2000,95.5,95.45,0.04999999999999716,6.0,120.00000000000682,384
features.8.conv.1.0,"(384, 1, 3, 3)",3456,7,6,8,2000,95.5,95.6,-0.09999999999999432,0.421875,42.1875,384
features.8.conv.1.0,"(384, 1, 3, 3)",3456,7,5,8,2000,95.5,95.35,0.15000000000000568,0.84375,5.624999999999787,384
features.8.conv.2,"(64, 384, 1, 1)",24576,7,6,8,2000,95.5,95.25,0.25,3.0,12.0,64
features.8.conv.2,"(64, 384, 1, 1)",24576,7,5,8,2000,95.5,95.0,0.5,6.0,12.0,64
