layer_name,assigned_bits,num_weights
features.0.0,7,864
features.1.conv.0.0,7,288
features.1.conv.1,6,512
features.2.conv.0.0,6,1536
features.2.conv.1.0,7,864
features.2.conv.2,7,2304
features.3.conv.0.0,7,3456
features.3.conv.1.0,7,1296
features.3.conv.2,7,3456
features.4.conv.0.0,5,3456
features.4.conv.1.0,6,1296
features.4.conv.2,7,4608
features.5.conv.0.0,7,6144
features.5.conv.1.0,7,1728
features.5.conv.2,7,6144
features.6.conv.0.0,5,6144
features.6.conv.1.0,7,1728
features.6.conv.2,7,6144
features.7.conv.0.0,7,6144
features.7.conv.1.0,6,1728
features.7.conv.2,6,12288
features.8.conv.0.0,5,24576
features.8.conv.1.0,6,3456
features.8.conv.2,7,24576
features.9.conv.0.0,7,24576
features.9.conv.1.0,7,3456
features.9.conv.2,7,24576
features.10.conv.0.0,5,24576
features.10.conv.1.0,5,3456
features.10.conv.2,5,24576
features.11.conv.0.0,7,24576
features.11.conv.1.0,7,3456
features.11.conv.2,7,36864
features.12.conv.0.0,6,55296
features.12.conv.1.0,5,5184
features.12.conv.2,6,55296
features.13.conv.0.0,7,55296
features.13.conv.1.0,5,5184
features.13.conv.2,7,55296
features.14.conv.0.0,7,55296
features.14.conv.1.0,5,5184
features.14.conv.2,7,92160
features.15.conv.0.0,5,153600
features.15.conv.1.0,7,8640
features.15.conv.2,6,153600
features.16.conv.0.0,6,153600
features.16.conv.1.0,7,8640
features.16.conv.2,7,153600
features.17.conv.0.0,5,153600
features.17.conv.1.0,5,8640
features.17.conv.2,5,307200
features.18.0,5,409600
classifier.1,5,12800
