candidate_index,layer_name,previous_bits,proposed_bits,profile_drop_pp,num_weights,proposed_accuracy,accepted,current_model_size_mb,current_compression_ratio
1,features.18.0,7,5,-0.04999999999999716,409600,94.62,1,1.9355697631835938,4.408141143638722
2,features.17.conv.2,7,5,-0.20000000000000284,307200,94.48,1,1.8623275756835938,4.58150586442386
3,features.15.conv.0.0,7,5,0.04999999999999716,153600,94.58,1,1.8257064819335938,4.673404402024246
4,features.17.conv.0.0,7,5,0.09999999999999432,153600,94.54,1,1.7890853881835938,4.769065113284065
5,features.10.conv.2,7,5,-0.09999999999999432,24576,94.36,1,1.7832260131835938,4.784735443736603
6,features.8.conv.0.0,7,5,0.04999999999999716,24576,94.38,1,1.7773666381835938,4.800509093718745
7,features.10.conv.0.0,7,5,0.04999999999999716,24576,94.42,1,1.7715072631835938,4.816387088438597
8,classifier.1,7,5,-0.04999999999999716,12800,94.4,1,1.7684555053710938,4.824698548286201
9,features.17.conv.1.0,7,5,-0.04999999999999716,8640,94.37,1,1.7663955688476562,4.830325018896447
10,features.6.conv.0.0,7,5,0.09999999999999432,6144,94.46,1,1.7649307250976562,4.834334055236391
11,features.13.conv.1.0,7,5,-0.25,5184,94.37,1,1.7636947631835938,4.837721859575812
12,features.14.conv.1.0,7,5,0.0,5184,94.42,1,1.7624588012695312,4.8411144154556744
13,features.12.conv.1.0,7,5,0.04999999999999716,5184,94.48,1,1.7612228393554688,4.8445117328793526
14,features.10.conv.1.0,7,5,0.0,3456,94.31,1,1.7603988647460938,4.846779261416579
15,features.4.conv.0.0,7,5,0.09999999999999432,3456,94.21,1,1.7595748901367188,4.8490489136326
19,features.15.conv.2,7,6,-0.04999999999999716,153600,94.31,1,1.7412643432617188,4.9000398718841875
20,features.16.conv.0.0,7,6,0.0,153600,94.28,1,1.7229537963867188,4.952114634394746
22,features.12.conv.2,7,6,-0.04999999999999716,55296,94.21,1,1.7163619995117188,4.971133544030902
23,features.12.conv.0.0,7,6,0.04999999999999716,55296,94.17,1,1.7097702026367188,4.990299103537213
25,features.7.conv.2,7,6,-0.04999999999999716,12288,94.15,1,1.7083053588867188,4.994578202946706
27,features.15.conv.1.0,7,6,0.04999999999999716,8640,93.96,0,1.7083053588867188,4.994578202946706
30,features.8.conv.1.0,7,6,-0.09999999999999432,3456,94.14,1,1.7078933715820312,4.995783022197206
31,features.7.conv.1.0,7,6,0.0,1728,94.1,1,1.7076873779296875,4.996385649823527
32,features.2.conv.0.0,7,6,0.04999999999999716,1536,94.22,1,1.7075042724609375,4.996921440890771
33,features.4.conv.1.0,7,6,0.0,1296,94.15,1,1.7073497772216797,4.997373603993998
34,features.1.conv.1,7,6,-0.09999999999999432,512,94.04,1,1.7072887420654297,4.99755225888186
